word,chars,log_freq,gpt2S_surp,gpt2B_surp,gpt2L_surp,mean_RT
Josephs,7,2.18,-16.06682586669922,-16.910633087158203,-17.713041305541992,501.17721518987344
Knowledgeable,13,3.53,-38.981956481933594,-32.19887161254883,-7.430924415588379,409.5211267605634
Leiden,6,2.95,-37.77873229980469,-28.479700088500977,-21.477022171020508,382.1645569620253
Listening,9,4.66,-32.315643310546875,-27.896730422973633,-21.825315475463867,338.2073170731707
Lord.,5,5.1,-12.36838436126709,-9.461043357849121,-10.927397727966309,307.51190476190476
Lord.',6,5.1,-29.26058578491211,-24.573596954345703,-24.967832565307617,313.3411764705882
Lucy,4,4.07,-27.00313377380371,-22.537778854370117,-7.489023685455322,341.0797903319744
Lucy's,6,2.76,-30.814533233642578,-25.035846710205078,-13.61201286315918,369.1220159151194
"Lucy,",5,4.07,-28.106143951416016,-24.31756591796875,-12.546608924865723,363.47682119205297
Lucy.,5,4.07,-27.2388973236084,-26.678922653198242,-16.010295867919922,399.07894736842104
Lucy.',6,4.07,-42.24539566040039,-39.18888473510742,-25.254722595214844,365.3157894736842
Mackay,6,3.41,-32.072452545166016,-28.054841995239258,-21.49032211303711,361.11304347826086
Mackay's,8,1.92,-36.286861419677734,-29.731504440307617,-24.712156295776367,347.51973684210526
"Mackay,",7,3.41,-33.528770446777344,-29.287195205688477,-22.689563751220703,337.2597402597403
Madness,7,3.97,-28.413354873657227,-21.2745361328125,-15.489124298095703,338.46753246753246
Maker.,6,4.23,-11.596464157104492,-7.442474365234375,-7.373194694519043,413.97777777777776
Manor,5,3.81,-20.57236099243164,-19.815322875976562,-20.696796417236328,309.3181818181818
Manor.,6,3.81,-23.20258331298828,-23.91521453857422,-22.24387550354004,312.0118343195266
"Marcel,",7,3.5,-29.575693130493164,-28.52169418334961,-23.223068237304688,387.958904109589
"Mexico,",7,4.75,-11.028007507324219,-7.20861291885376,-6.270174503326416,365.5131578947368
"Mogul,",6,3.07,-38.527347564697266,-25.653493881225586,-23.929365158081055,368.27536231884056
Mogul.',7,3.07,-52.53399658203125,-38.63269805908203,-34.274234771728516,407.77142857142854
Mom's,5,3.81,-19.7196102142334,-12.627010345458984,-13.545398712158203,346.51807228915663
"Mom,",4,5.12,-12.49502944946289,-9.82401180267334,-9.728180885314941,330.2865853658537
Mom.,4,5.12,-11.798545837402344,-7.917040824890137,-12.777237892150879,358.2375
Mr.,3,5.69,-11.278360366821289,-5.167809009552002,-1.885653018951416,338.17297297297296
"Netherlands,",12,4.28,-35.530582427978516,-29.451934814453125,-20.22489356994629,334.67105263157896
Netherlands.,12,4.28,-36.34297561645508,-30.858951568603516,-23.007352828979492,520.3552631578947
"No,",3,6.35,-13.308892250061035,-9.455954551696777,-6.811395645141602,334.57471264367814
"Now,",4,6.18,-11.775884628295898,-7.252840518951416,-3.2571146488189697,330.62666666666667
Numerous,8,4.65,-40.536170959472656,-30.847930908203125,-21.722570419311523,348.1232876712329
Obsessive,9,3.43,-28.945003509521484,-16.859085083007812,-14.631268501281738,329.82608695652175
Ottoman,7,3.62,-37.718849182128906,-26.996259689331055,-13.621818542480469,423.94871794871796
Passersby,9,2.59,-37.04845428466797,-28.198421478271484,-10.440132141113281,451.53333333333336
"Pflock,",7,0.0,-32.69993209838867,-34.14780807495117,-32.66621780395508,401.75
Plains,6,3.89,-32.8455696105957,-20.74720001220703,-8.06247615814209,332.0285714285714
Popular,7,5.07,-32.655338287353516,-23.162784576416016,-5.603885650634766,440.9342105263158
Presley,7,3.27,-26.177268981933594,-20.255165100097656,-14.706877708435059,345.6736842105263
Propagation,11,3.34,-32.140419006347656,-16.940034866333008,-11.692253112792969,405.45454545454544
Properly,8,4.64,-29.810832977294922,-21.09372901916504,-13.620893478393555,448.14285714285717
Provinces,9,4.03,-33.059383392333984,-20.266429901123047,-14.244230270385742,373.5
"Provinces,",10,4.03,-34.2410774230957,-23.103431701660156,-17.242351531982422,536.2051282051282
Rosen,5,3.4,-41.871952056884766,-29.190811157226562,-23.134462356567383,486.7922077922078
Roswell,7,3.0,-25.9569034576416,-22.299484252929688,-16.101083755493164,342.1021052631579
"Roswell,",8,3.0,-23.36394691467285,-20.7451114654541,-15.6745023727417,382.22297297297297
Samaritan,9,3.15,-33.56502151489258,-25.93354606628418,-10.395151138305664,469.2087912087912
Seeds,5,4.28,-40.1627197265625,-31.336769104003906,-23.195558547973633,431.94736842105266
Semper,6,2.78,-24.778026580810547,-21.93536949157715,-15.345860481262207,439.7631578947368
"September,",10,5.15,-11.53810977935791,-7.59970760345459,-10.819509506225586,386.5394736842105
Stanton,7,3.53,-40.20044708251953,-29.54693031311035,-20.788253784179688,416.90277777777777
Sticky,6,3.8,-34.73943328857422,-25.234342575073242,-18.158580780029297,335.3109017496635
"Sticky,",7,3.8,-32.36973571777344,-25.67035484313965,-23.031536102294922,334.4193548387097
Sticky.,7,3.8,-33.07070541381836,-27.20973777770996,-23.473657608032227,390.0181818181818
Sticky?',8,3.8,-49.90615463256836,-45.55851745605469,-37.74709701538086,399.8433734939759
"Sunday,",7,4.92,-11.581059455871582,-7.258975028991699,-5.50774621963501,301.2307692307692
"Then,",5,6.07,-11.945266723632812,-7.458337306976318,-5.536568641662598,345.8516129032258
"There,",6,6.31,-12.955582618713379,-9.014946937561035,-16.48027992248535,364.3375
Tics,4,2.64,-33.997684478759766,-25.381166458129883,-24.385465621948242,374.5473684210526
Tough,5,4.77,-34.196590423583984,-26.205703735351562,-20.993112564086914,468.5869565217391
Tourette's,10,2.43,-38.49787521362305,-22.62771987915039,-20.746614456176758,362.33671083398286
"Tourette's,",11,2.43,-42.23712158203125,-28.629756927490234,-25.84036636352539,356.986013986014
Tourette's.,11,2.43,-42.21603012084961,-28.3919734954834,-27.555213928222656,674.9923076923077
"Tourette,",9,2.27,-37.829654693603516,-28.352886199951172,-28.28764533996582,440.8082191780822
Traders,7,3.95,-37.490840911865234,-26.09825897216797,-14.936528205871582,377.78205128205127
Tucked,6,3.62,-38.402618408203125,-29.103939056396484,-24.95878791809082,319.4024390243902
Tulip,5,3.18,-29.110095977783203,-20.781675338745117,-21.49357032775879,511.0122699386503
Tulips,6,2.95,-37.917945861816406,-29.243040084838867,-25.18798065185547,370.88961038961037
"Turkey,",7,4.56,-11.525555610656738,-7.595486640930176,-6.689757823944092,421.1794871794872
UFO,3,3.48,-24.87630844116211,-27.458738327026367,-20.4840145111084,369.1320754716981
"UFO,",4,3.48,-25.441131591796875,-27.357568740844727,-24.485599517822266,347.56164383561645
UFOlogists,10,1.26,-50.963829040527344,-49.39122772216797,-26.809268951416016,403.7260273972603
UFOs.,5,2.92,-31.597688674926758,-28.736141204833984,-24.91429328918457,406.2162162162162
"Usually,",8,5.15,-12.430808067321777,-9.062002182006836,-4.214319229125977,439.3734939759036
Violetten,9,0.0,-47.81315231323242,-32.23680114746094,-29.28392219543457,533.7051282051282
Worth.,6,5.16,-31.68334197998047,-34.03620147705078,-26.421083450317383,408.1506849315069
Yard.,5,4.57,-30.416303634643555,-27.030603408813477,-24.78544044494629,442.5833333333333
Year's,6,4.38,-20.589393615722656,-12.933064460754395,-12.321563720703125,378.17894736842106
"Year's,",7,4.38,-27.579883575439453,-22.967851638793945,-21.761390686035156,369.04395604395603
about.,6,6.4,-12.02374267578125,-9.537121772766113,-10.94981861114502,324.0752688172043
abusive,7,3.87,-39.172794342041016,-31.618816375732422,-27.824373245239258,360.46666666666664
accidents,9,4.16,-36.00712203979492,-27.61345100402832,-14.333847999572754,399.2957746478873
"accord,",7,3.81,-27.949209213256836,-24.060537338256836,-16.262964248657227,403.59090909090907
"account,",8,5.21,-11.858455657958984,-8.565348625183105,-10.851357460021973,357.38961038961037
accounts,8,4.73,-14.92534351348877,-14.154576301574707,-6.3136420249938965,327.7292817679558
"accounts,",9,4.73,-16.14670181274414,-15.736591339111328,-11.741070747375488,363.3474178403756
accumulated,11,3.7,-37.67405700683594,-17.904268264770508,-9.858537673950195,335.7741935483871
accusingly.,11,1.75,-31.280200958251953,-34.57491683959961,-33.081504821777344,391.7710843373494
achieve,7,4.57,-34.99479675292969,-28.175189971923828,-21.424423217773438,309.05333333333334
achievement,11,4.36,-34.65968322753906,-23.96817398071289,-17.274316787719727,294.26666666666665
achievements.,13,4.06,-34.26359558105469,-27.542516708374023,-21.9774227142334,419.1860465116279
acquiesced,10,2.42,-41.45290756225586,-27.409870147705078,-21.70166778564453,427.010989010989
acres,5,4.17,-26.020963668823242,-23.600563049316406,-16.332597732543945,335.5128205128205
across,6,5.25,-38.2843132019043,-29.995372772216797,-16.0057315826416,337.30324909747293
activities.,11,4.91,-29.090129852294922,-21.253955841064453,-11.835453987121582,399.93055555555554
"added,",6,5.16,-11.796732902526855,-9.118760108947754,-9.609209060668945,335.6842105263158
addition,8,5.01,-33.82616424560547,-22.968549728393555,-13.248149871826172,326.6125
additional,10,4.98,-37.975914001464844,-25.711345672607422,-10.830504417419434,417.76056338028167
admitted,8,4.49,-33.90992736816406,-30.2142391204834,-22.798879623413086,318.42105263157896
adulthood,9,3.6,-38.98578643798828,-27.69358253479004,-17.20964813232422,344.71830985915494
adulthood.,10,3.6,-37.438045501708984,-28.39513397216797,-18.44008445739746,367.97278911564626
advance,7,4.65,-36.15024948120117,-30.79875946044922,-22.622133255004883,318.9642857142857
affording,9,2.76,-40.4735221862793,-29.8950252532959,-22.780855178833008,383.61842105263156
"afraid,",7,4.7,-30.990726470947266,-28.71367835998535,-21.914501190185547,428.67391304347825
"again,",6,5.7,-10.266779899597168,-5.682165145874023,-4.303048133850098,352.02272727272725
again.,6,5.7,-10.48205852508545,-6.714946746826172,-6.442929744720459,321.7951807228916
"ago,",4,5.42,-11.185050010681152,-8.03217601776123,-6.674582481384277,370.5394736842105
ago.,4,5.42,-11.103494644165039,-8.878436088562012,-8.912117958068848,334.5345911949685
aimed,5,4.25,-20.72144317626953,-17.19843292236328,-5.108546257019043,316.62857142857143
"air,",4,5.37,-13.197367668151855,-9.737955093383789,-8.698567390441895,352.25274725274727
aliens,6,4.03,-26.616172790527344,-24.867843627929688,-23.128665924072266,313.848623853211
"aliens,",7,4.03,-25.90207290649414,-23.298816680908203,-21.90230941772461,349.9793103448276
aliens.,7,4.03,-25.011735916137695,-24.338422775268555,-21.92051887512207,356.64383561643837
"alive,",6,4.76,-25.410978317260742,-23.534473419189453,-22.067996978759766,345.8082191780822
"all,",4,6.52,-12.534923553466797,-8.899415969848633,-8.91732120513916,353.7692307692308
all.,4,6.52,-11.962053298950195,-9.373801231384277,-10.117447853088379,313.94505494505495
alleged,7,4.37,-31.372650146484375,-23.151775360107422,-18.730215072631836,408.11333333333334
allergies.,10,3.63,-32.413631439208984,-27.54718780517578,-18.696468353271484,403.01408450704224
alone.,6,5.16,-11.487154960632324,-8.2359619140625,-7.417255401611328,349.3736263736264
"along,",6,5.38,-12.084184646606445,-7.881656646728516,-10.21691608428955,337.65934065934067
along.,6,5.38,-11.707969665527344,-8.026617050170898,-12.118337631225586,342.81111111111113
already,7,5.55,-29.531696319580078,-31.224014282226562,-27.570598602294922,315.51394422310756
already!,8,5.55,-33.28371810913086,-35.82112503051758,-34.73813247680664,463.29333333333335
altitude,8,3.92,-34.6417236328125,-27.6458797454834,-9.838631629943848,350.0857142857143
ambassador,10,4.35,-44.32046890258789,-33.03757095336914,-13.603747367858887,420.36708860759495
ambitions.,10,3.64,-31.6616153717041,-24.68269920349121,-20.249433517456055,400.89285714285717
ambushed,8,3.21,-36.95948791503906,-27.163732528686523,-18.599172592163086,313.4235294117647
"and,",4,7.41,-12.993462562561035,-9.814599990844727,-9.803812980651855,336.19070904645474
"anger,",6,4.42,-11.740267753601074,-7.3372392654418945,-7.187432289123535,328.2736842105263
anger.,6,4.42,-11.435365676879883,-7.638211727142334,-9.0447359085083,365.95402298850576
angrily,7,3.34,-43.85242462158203,-34.842926025390625,-27.112781524658203,324.65909090909093
angry,5,4.66,-28.81562614440918,-23.467681884765625,-17.566009521484375,308.5903614457831
animal.,7,4.81,-11.9773588180542,-9.378987312316895,-10.666325569152832,363.9390243902439
announced.,10,4.96,-11.425490379333496,-9.312278747558594,-8.292647361755371,345.4968152866242
annoyed,7,3.95,-35.85106658935547,-25.878036499023438,-12.117741584777832,377.0568181818182
annual,6,4.94,-31.401121139526367,-24.33403205871582,-11.040605545043945,346.43589743589746
"answer,",7,5.17,-11.367697715759277,-8.047168731689453,-10.552212715148926,411.10752688172045
anthropomorphic,15,2.73,-40.50466537475586,-31.445423126220703,-18.224443435668945,528.1739130434783
anticipation,12,3.74,-34.830833435058594,-27.607881546020508,-23.15573501586914,322.7945205479452
anxiety,7,4.45,-45.54486846923828,-34.5338020324707,-23.169708251953125,365.4513888888889
"any,",4,6.07,-12.796128273010254,-8.983742713928223,-9.753135681152344,391.7613636363636
anymore.,8,4.94,-24.66450309753418,-25.510887145996094,-21.985103607177734,384.77777777777777
anyone,6,5.38,-22.272756576538086,-21.587968826293945,-8.574352264404297,356.6871165644172
anytime,7,4.19,-25.307159423828125,-25.568532943725586,-18.651853561401367,326.97872340425533
apart,5,4.78,-25.744966506958008,-22.879886627197266,-13.887663841247559,340.60869565217394
apparently,10,4.8,-43.70455551147461,-31.284337997436523,-11.806234359741211,387.5466666666667
appealing,9,3.95,-35.451107025146484,-29.274137496948242,-15.143950462341309,387.1168831168831
appear,6,4.85,-27.83281898498535,-25.28955078125,-13.332483291625977,361.25454545454545
appearance.,11,4.69,-35.16175079345703,-26.658384323120117,-15.469437599182129,380.74725274725273
appeared,8,4.83,-36.56003952026367,-27.8942928314209,-11.718829154968262,343.1978021978022
appeared.,9,4.83,-32.19698715209961,-28.198434829711914,-15.257363319396973,356.2926829268293
applaud,7,3.46,-30.894065856933594,-26.14994239807129,-19.601085662841797,313.75342465753425
applause,8,3.83,-33.61848449707031,-18.172449111938477,-14.413887977600098,283.35616438356163
approached,10,4.16,-37.09501266479492,-25.814990997314453,-11.478170394897461,400.5777777777778
approval.,9,4.5,-25.89977264404297,-23.913345336914062,-10.958296775817871,393.9012345679012
apron,5,3.36,-30.53017807006836,-22.946395874023438,-18.13205337524414,460.05434782608694
"archway,",8,2.67,-24.23343849182129,-24.00896453857422,-24.250186920166016,399.2926829268293
"area,",5,5.46,-11.921232223510742,-8.363663673400879,-8.584003448486328,341.35714285714283
argued,6,4.36,-34.3156623840332,-25.460071563720703,-14.526906967163086,303.32
arguing,7,4.25,-36.302913665771484,-27.077611923217773,-14.238791465759277,325.80263157894734
"arguments,",10,4.33,-32.73408126831055,-28.458538055419922,-14.254143714904785,423.2567567567568
"arms,",5,4.82,-11.591883659362793,-7.755357265472412,-7.234126567840576,286.65934065934067
arms.,5,4.82,-11.299666404724121,-7.7098822593688965,-7.655484199523926,359.0681818181818
around.,7,5.77,-11.865141868591309,-8.389060020446777,-9.586353302001953,403.65895953757223
arrived,7,4.79,-45.099388122558594,-33.34975814819336,-28.911582946777344,352.34065934065933
arrows,6,3.8,-15.136971473693848,-14.412086486816406,-6.522960662841797,356.7738095238095
"articles,",9,4.71,-11.557729721069336,-7.385312080383301,-9.79551887512207,363.63013698630135
asked,5,5.3,-21.22313690185547,-16.495880126953125,-7.175631523132324,333.2865731462926
"asked,",6,5.3,-21.99098014831543,-19.592016220092773,-12.857189178466797,358.4237804878049
asked.,6,5.3,-21.376317977905273,-21.20342445373535,-12.991581916809082,348.8235294117647
asleep,6,4.36,-38.168941497802734,-33.575111389160156,-22.51129722595215,312.4888888888889
asleep.,7,4.36,-32.71505355834961,-30.06402015686035,-21.829608917236328,334.9318181818182
asset,5,4.23,-23.100698471069336,-19.36553955078125,-11.353423118591309,328.0657894736842
assigned,8,4.39,-36.35893249511719,-27.737905502319336,-14.066561698913574,324.64772727272725
